"id","course_id","course_program_name","program_overview_order","program_overview_selected","selected_ids","status","createdOn","updatedOn"
"42","44","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""Stay updated with Latest Social Media Trends: Join this course to stay ahead of the curve and learn about the latest trends in Social Media management and content creation. "",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""Unique Applications of AI Tools: Discover innovative ways to utilise AI tools to their fullest extent. Gain practical knowledge and insights into how AI can be applied in various domains of social media management and lead generation."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""No Technical Background Required: Don't worry if you have no prior knowledge of Social Media or a technical background. This course is designed to teach the ins and outs of social media, focusing on practical applications."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""Interactive Classes with Live Demonstrations: Experience engaging and interactive classes where different strategies and skills of social media management and content creation will be demonstrated live. Learn by seeing practical examples and gain hands-on experience."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""Opportunities for Freelance Work: This comprehensive course not only equips you with social media management skills but also provides opportunities to generate freelance work. Unlock the potential to offer social media-related services to clients and expand your professional opportunities."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""Expert Instructors and Guest Lectures: Learn from experienced and knowledgeable instructors who have expertise in Social Media and its practical applications. Our faculty members bring real-world experience and industry insights to the course, ensuring a high-quality learning experience."",""allowed"":1}]}","""1,2,3,4,5,6""","A","2024-01-28 11:37:42","2024-08-08 13:08:19"
"43","45","Program Overview",,,,"A","2024-03-17 10:36:29",
"44","46","Program Overview",,,,"A","2024-04-14 10:00:13",
"45","47","Program Overview",,,,"A","2024-04-20 23:37:01",
"46","48","Program Overview",,,,"A","2024-05-18 18:30:14",
"47","49","Program Overview",,,,"A","2024-05-21 16:33:14",
"48","50","Program Overview",,,,"A","2024-05-21 17:29:17",
"49","51","Program Overview",,,,"A","2024-05-31 16:11:18",
"50","52","KEY HIGHLIGHTS","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Tailored for Engineers:<\/b> Custom strategies designed specifically for engineers to enhance networking and job hunting within their field."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Real-World Networking:<\/b> Techniques to establish connections within professional organizations and industry groups."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Job Search Strategies:<\/b>Effective use of job boards and company career pages tailored to the engineering industry."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Advanced Networking: <\/b> Strategies focused on long-term relationship building and maintaining professional connections."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Personal Branding:<\/b> Development of a unique value proposition to showcase your engineering skills and experiences."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Interactive Classes with Live Demonstrations:<\/b> Engaging, live-demo classes on social media management and content creation, offering practical, hands-on learning experiences."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Expert Instructors and Guest Lectures:<\/b> Instruction from experienced experts knowledgeable in practical applications within the field."",""allowed"":1}]}","""1,2,3,4,5,6,7""","A","2024-06-01 13:44:26","2024-12-14 18:12:35"
"51","53","Program Overview",,,,"A","2024-06-01 13:47:08",
"52","54","Program Overview",,,,"A","2024-06-28 14:09:31",
"53","55","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Master Video Marketing Strategies:<\/b> Learn to plan, create, and execute video marketing strategies that drive brand awareness, engagement, and lead generation."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Leverage AI for Video Production:<\/b> Utilize AI-powered tools like Descript, Adobe Express, and Canva to streamline video scripting, editing, and content repurposing."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Professional-Quality Video Creation:<\/b> Gain hands-on experience in shooting, lighting, and editing with industry-standard tools like Premiere Pro and DaVinci Resolve."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Social Media Video Mastery:<\/b> Create high-performing reels, YouTube shorts, ads, memes, and motion graphics for maximum audience engagement and conversion."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Monetize Your Video Skills:<\/b> Learn how to land high-paying clients, secure freelance projects, and create investor pitch videos to grow your career."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Optimize Video Sales Funnels:<\/b> Design and implement high-converting Video Sales Letter (VSL) funnels, test ad creatives, and improve video ad performance."",""allowed"":1}]}","""1,2,3,4,5,6""","A","2024-06-29 15:10:02","2025-02-07 17:02:15"
"54","56","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course enables you to build your profile and work as a data analyst with startups, SMEs and large companies, top executives, as a well paid freelancer, and other remote opportunities."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Escape the office cubicle, exhausting daily commute and being forced to live in cramped spaces. After building such an online profile you can get a lot of freelance work which you can do while travelling the world, or living wherever you wish. "",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""We can help you to get a very flexible job\/ paid internships\/ freelance work\/ remote opportunities that enables you to boost your earning potential while having time for your family and loved ones."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""All the skills to do such work can be learned in 6 months provided that your English communication skills are upto the mark. Knowing a foreign language can be a bonus."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""We have helped more than 5000 students and professionals from India to get remote jobs and freelance work in the US, UK, Canada, Europe, Australia, the Middle East and other places. You could be our next success story!"",""allowed"":1}]}","""1,2,3,4,5,6,7""","A","2024-07-11 16:15:35","2024-07-13 20:07:54"
"55","57","Program Overview",,,,"A","2024-07-14 13:50:06",
"56","58","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""Individual Profile Assessment: We understand that personal branding is a highly individualized process. Therefore, we conduct a comprehensive assessment of each student's current profile, strengths, and areas for improvement. This assessment forms the basis for personalized guidance and recommendations throughout the course."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""Guided Approach: Our course is not a one-time event but a continuous journey. We provide ongoing support and guidance as students progress through their personal brand-building process. Our experienced instructors are available to answer questions, provide feedback, and offer personalized advice tailored to each student's unique goals and circumstances."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Holistic Approach: Personal branding extends beyond mere online presence. We take a holistic approach that encompasses both online and offline aspects of personal branding. Our curriculum covers topics such as public speaking, networking, professional image, and reputation management, ensuring that students develop a well-rounded personal brand that resonates in all aspects of their professional lives."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""Building Thought Leadership: Thought leadership is a crucial aspect of personal branding for corporate leaders. We dedicate a significant portion of our course to developing thought leadership skills. Students will learn how to identify their areas of expertise, create compelling content, and position themselves as industry experts through public speaking engagements, writing articles, participating in industry events, and leveraging social media platforms."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""Managing Digital Presence: In today's digital world, online reputation plays a critical role in personal branding. We offer comprehensive guidance on managing and enhancing one's online reputation. Students will learn effective strategies to build a positive online presence, handle online criticism or negative reviews, and leverage social media platforms for professional networking and personal brand promotion."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""Networking Strategies: Networking is an essential component of personal branding for leaders. We provide practical techniques and frameworks to help students build meaningful professional relationships and expand their networks. Students will learn how to leverage networking opportunities, both online and offline, to enhance their personal brand, establish connections with influential individuals, and create opportunities for career advancement."",""allowed"":1}]}","""1,2,3,4,5,6""","A","2024-07-25 14:05:36","2024-07-25 14:07:00"
"57","59","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""In-Depth Curriculum: Engage with a rigorous curriculum that covers advanced machine learning algorithms, deep learning techniques, and state-of-the-art large language models (LLMs) such as GPT-4. The course also includes detailed modules on prompt engineering for optimizing AI responses and sophisticated methods in automatic data analytics, including predictive modeling and data-driven decision making."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""Live Code-Along Sessions: Participate in live coding sessions where instructors demonstrate complex AI models and data analytics techniques in real time. These sessions emphasize practical implementation using Python, TensorFlow, PyTorch, and other industry-standard tools, allowing you to follow along and apply the concepts immediately."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Industry-Experienced Instructors: Learn from AI specialists and data scientists who have significant industry experience. Our instructors have contributed to notable AI projects and bring practical knowledge of deploying machine learning models, fine-tuning LLMs, and leveraging data analytics in enterprise environments."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""Capstone Projects and Real-World Applications: Work on capstone projects that mimic real-world scenarios and business challenges. These projects involve building and deploying AI models, optimizing LLMs for specific tasks, and creating automated data analytics pipelines. By the end of the course, you will have a portfolio demonstrating your ability to solve complex problems using AI and data analytics."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""Advanced Tools and Technologies: Gain hands-on experience with advanced AI and data analytics tools and platforms. The course includes training on cloud-based AI services (such as AWS SageMaker, Google AI Platform, and Azure Machine Learning), data visualization tools (like Tableau and Power BI), and collaborative environments (such as Jupyter Notebooks and GitHub)."",""allowed"":1}]}","""1,2,3,4,5""","A","2024-07-25 16:17:52","2024-07-25 16:07:51"
"58","60","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course enables you to build your profile and work as a data analyst with startups, SMEs and large companies, top executives, as a well paid freelancer, and other remote opportunities."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""We can help you to get a very flexible job\/ paid internships\/ freelance work\/ remote opportunities that enables you to boost your earning potential while having time for your family and loved ones."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""All the skills to do such work can be learned in 6 months provided that your English communication skills are upto the mark. Knowing a foreign language can be a bonus."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""We have helped more than 5000 students and professionals from India to get remote jobs and freelance work in the US, UK, Canada, Europe, Australia, the Middle East and other places. You could be our next success story!"",""allowed"":1}]}","""1,2,3,4,5,6""","A","2024-08-14 18:29:46","2024-08-14 22:08:50"
"59","61","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course enables you to build your profile and work as a data analyst with startups, SMEs and large companies, top executives, as a well paid freelancer, and other remote opportunities."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Escape the office cubicle, exhausting daily commute and being forced to live in cramped spaces. After building such an online profile you can get a lot of freelance work which you can do while travelling the world, or living wherever you wish. "",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""We can help you to get a very flexible job\/ paid internships\/ freelance work\/ remote opportunities that enables you to boost your earning potential while having time for your family and loved ones."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""All the skills to do such work can be learned in 6 months provided that your English communication skills are upto the mark. Knowing a foreign language can be a bonus."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""We have helped more than 5000 students and professionals from India to get remote jobs and freelance work in the US, UK, Canada, Europe, Australia, the Middle East and other places. You could be our next success story!"",""allowed"":1}]}","""1,2,3,4,5,6,7""","A","2024-08-14 18:54:29","2024-08-14 22:08:03"
"60","64","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course enables you to build your profile and work as a data analyst with startups, SMEs and large companies, top executives, as a well paid freelancer, and other remote opportunities."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""We can help you to get a very flexible job\/ paid internships\/ freelance work\/ remote opportunities that enables you to boost your earning potential while having time for your family and loved ones."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""All the skills to do such work can be learned in 6 months provided that your English communication skills are upto the mark. Knowing a foreign language can be a bonus."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""We have helped more than 5000 students and professionals from India to get remote jobs and freelance work in the US, UK, Canada, Europe, Australia, the Middle East and other places. You could be our next success story!"",""allowed"":1}]}","""1,2,3,4,5,6""","A","2024-08-16 17:01:00","2024-08-16 19:08:04"
"61","65","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course enables you to build your profile and work as a data analyst with startups, SMEs and large companies, top executives, as a well paid freelancer, and other remote opportunities."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""We can help you to get a very flexible job\/ paid internships\/ freelance work\/ remote opportunities that enables you to boost your earning potential while having time for your family and loved ones."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""All the skills to do such work can be learned in 6 months provided that your English communication skills are upto the mark. Knowing a foreign language can be a bonus."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""We have helped more than 5000 students and professionals from India to get remote jobs and freelance work in the US, UK, Canada, Europe, Australia, the Middle East and other places. You could be our next success story!"",""allowed"":1}]}","""1,2,3,4,5,6""","A","2024-08-16 17:01:10","2024-08-16 19:08:46"
"62","66","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course enables you to build your profile and work as a data analyst with startups, SMEs and large companies, top executives, as a well paid freelancer, and other remote opportunities."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Escape the office cubicle, exhausting daily commute and being forced to live in cramped spaces. After building such an online profile you can get a lot of freelance work which you can do while travelling the world, or living wherever you wish. "",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""We can help you to get a very flexible job\/ paid internships\/ freelance work\/ remote opportunities that enables you to boost your earning potential while having time for your family and loved ones."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""All the skills to do such work can be learned in 6 months provided that your English communication skills are upto the mark. Knowing a foreign language can be a bonus."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""We have helped more than 5000 students and professionals from India to get remote jobs and freelance work in the US, UK, Canada, Europe, Australia, the Middle East and other places. You could be our next success story!"",""allowed"":1}]}","""1,2,3,4,5,6,7""","A","2024-08-16 17:26:56","2024-08-16 17:08:03"
"63","67","Program Overview",,,,"A","2024-08-16 17:27:13",
"64","69","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Stay updated with Latest Social Media Trends:<\/b> Learn the latest in social media management and content creation to stay ahead in the industry."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Leverage AI Tools:<\/b> Explore innovative applications of AI tools for social media management and lead generation, no prior experience needed."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Beginner-Friendly:<\/b> This course requires no technical background and focuses on practical knowledge of social media."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Interactive and Live Demonstrations: <\/b>Engage in classes with live demos to learn social media strategies and content creation effectively."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Freelance Opportunities: <\/b>Gain skills in social media management and unlock potential freelance opportunities to expand your career."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Expert Instruction:<\/b> Benefit from courses taught by experienced instructors and guest lectures, offering industry insights and real-world applications."",""allowed"":1}]}","""1,2,3,4,5,6""","A","2024-08-17 10:47:56","2025-01-10 17:01:59"
"65","70","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course enables you to build your profile and work as a data analyst with startups, SMEs and large companies, top executives, as a well paid freelancer, and other remote opportunities."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Escape the office cubicle, exhausting daily commute and being forced to live in cramped spaces. After building such an online profile you can get a lot of freelance work which you can do while travelling the world, or living wherever you wish. "",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""We can help you to get a very flexible job\/ paid internships\/ freelance work\/ remote opportunities that enables you to boost your earning potential while having time for your family and loved ones."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""All the skills to do such work can be learned in 6 months provided that your communication skills are upto the mark. Knowing a foreign language can be a bonus."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""We have helped more than 5000 students and professionals to get remote jobs and freelance work. You could be our next success story!"",""allowed"":1}]}","""1,2,3,4,5,6,7""","A","2024-08-23 18:40:24","2024-10-22 15:10:03"
"66","71","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course enables you to build your profile and work as a data analyst with startups, SMEs and large companies, top executives, as a well paid freelancer, and other remote opportunities."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""We can help you to get a very flexible job\/ paid internships\/ freelance work\/ remote opportunities that enables you to boost your earning potential while having time for your family and loved ones."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""All the skills to do such work can be learned in 6 months provided that your English communication skills are upto the mark. Knowing a foreign language can be a bonus."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""We have helped more than 5000 students and professionals from India to get remote jobs and freelance work in the US, UK, Canada, Europe, Australia, the Middle East and other places. You could be our next success story!"",""allowed"":1}]}","""1,2,3,4,5,6""","A","2024-08-27 12:46:23","2024-08-27 13:08:31"
"67","72","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course enables you to build your profile and work as a data analyst with startups, SMEs and large companies, top executives, as a well paid freelancer, and other remote opportunities."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1}]}","""1,2,3,4,5,6,7""","A","2024-08-27 13:16:32","2025-02-19 20:02:05"
"68","73","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course enables you to build your profile and work as a data analyst with startups, SMEs and large companies, top executives, as a well paid freelancer, and other remote opportunities."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""You don\u2019t have to be a software engineer, data scientist or lawyer to benefit from international remote work - people having skills and building profile in the ways taught in this course are always in great demand"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""We can help you to get a very flexible job\/ paid internships\/ freelance work\/ remote opportunities that enables you to boost your earning potential while having time for your family and loved ones."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""We will teach in demand skills like machine learning and AI that will make you an integral part of big data companies and ensure that you are paid at least $40-$65 per hour"",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""All the skills to do such work can be learned in 6 months provided that your English communication skills are upto the mark. Knowing a foreign language can be a bonus."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""We have helped more than 5000 students and professionals from India to get remote jobs and freelance work in the US, UK, Canada, Europe, Australia, the Middle East and other places. You could be our next success story!"",""allowed"":1}]}","""1,2,3,4,5,6""","A","2024-08-27 13:16:55","2024-08-27 13:08:15"
"69","74","Program Overview",,,,"A","2024-08-28 15:01:30",
"70","75","Program Overview",,,,"A","2024-08-29 17:46:29",
"71","76","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""Individual Profile Assessment: We understand that personal branding is a highly individualized process. Therefore, we conduct a comprehensive assessment of each student's current profile, strengths, and areas for improvement. This assessment forms the basis for personalized guidance and recommendations throughout the course."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""Guided Approach: Our course is not a one-time event but a continuous journey. We provide ongoing support and guidance as students progress through their personal brand-building process. Our experienced instructors are available to answer questions, provide feedback, and offer personalized advice tailored to each student's unique goals and circumstances."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Holistic Approach: Personal branding extends beyond mere online presence. We take a holistic approach that encompasses both online and offline aspects of personal branding. Our curriculum covers topics such as public speaking, networking, professional image, and reputation management, ensuring that students develop a well-rounded personal brand that resonates in all aspects of their professional lives."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""Building Thought Leadership: Thought leadership is a crucial aspect of personal branding for corporate leaders. We dedicate a significant portion of our course to developing thought leadership skills. Students will learn how to identify their areas of expertise, create compelling content, and position themselves as industry experts through public speaking engagements, writing articles, participating in industry events, and leveraging social media platforms."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""Managing Digital Presence: In today's digital world, online reputation plays a critical role in personal branding. We offer comprehensive guidance on managing and enhancing one's online reputation. Students will learn effective strategies to build a positive online presence, handle online criticism or negative reviews, and leverage social media platforms for professional networking and personal brand promotion."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""Networking Strategies: Networking is an essential component of personal branding for leaders. We provide practical techniques and frameworks to help students build meaningful professional relationships and expand their networks. Students will learn how to leverage networking opportunities, both online and offline, to enhance their personal brand, establish connections with influential individuals, and create opportunities for career advancement."",""allowed"":1}]}","""1,2,3,4,5,6""","A","2024-09-13 16:39:58","2024-09-13 18:09:31"
